player_name,club,position,assists,corner_taken,offsides,dribbles,total_attempts,on_target,off_target,blocked,balls_recoverd,tackles_won,tackles_lost,clearance_attempted,fouls_committed,fouls_suffered,red,yellow,pass_attempted,pass_completed,cross_attempted,cross_complted,freekicks_taken,match_played,saved,conceded,saved_penalties,cleansheets,punches made,goals,goals_right_foot,goals_left_foot,goals_headers,goals_others,goals_inside_area,goals_outside_areas,penalties,minutes_played,match_played,distance_covered
Al. Miranchuk,Atalanta,Forward,1,0,0,2,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,4.8
Muriel,Atalanta,Forward,0,0,0,0,8,4,2,2,0,0,0,0,2,3,1,0,59,48,5,0,2,5,0,0,0,0,0,1,1,0,0,0,0,1,0,130,5,16.9
Musso,Atalanta,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,120,0,0,11,0,21,13,0,1,1,0,0,0,0,0,0,0,0,540,6,32.7
Koopmeiners,Atalanta,Midfielder,1,8,0,1,4,0,1,3,7,1,3,3,3,3,0,0,135,106,12,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,210,5,28.9
Iličić,Atalanta,Midfielder,1,2,2,13,3,1,0,2,2,1,3,0,1,11,0,0,130,101,7,4,8,4,0,0,0,0,0,1,0,1,0,0,1,0,0,249,4,29.3
Freuler,Atalanta,Midfielder,1,0,0,6,2,2,0,0,30,6,4,8,6,11,0,0,360,307,3,1,11,6,0,0,0,0,0,1,1,0,0,0,1,0,0,526,6,71.6
Pašalić,Atalanta,Midfielder,1,0,0,2,3,1,2,0,7,1,0,2,2,1,1,0,71,57,1,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0,220,5,30
Malinovskyi,Atalanta,Midfielder,0,0,0,0,11,4,3,4,4,2,4,2,6,9,0,0,143,114,31,13,6,5,0,0,0,0,0,1,0,1,0,0,0,1,0,301,5,38.5
Gosens,Atalanta,Midfielder,0,0,0,0,3,2,1,0,5,1,1,2,2,0,0,0,56,43,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,101,2,12.1
Pessina,Atalanta,Midfielder,0,0,0,0,2,2,0,0,11,1,0,1,2,3,0,0,100,78,3,1,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0,211,4,29.4
